,exchangedate,r030,cc,txt,enname,rate,units,rate_per_unit,group,calcdate
0,01.01.2021,840,USD,Долар США,US Dollar,28.2746,1,28.2746,1,30.12.2020
1,02.01.2021,840,USD,Долар США,US Dollar,28.2746,1,28.2746,1,30.12.2020
2,03.01.2021,840,USD,Долар США,US Dollar,28.2746,1,28.2746,1,30.12.2020
3,04.01.2021,840,USD,Долар США,US Dollar,28.2746,1,28.2746,1,30.12.2020
4,05.01.2021,840,USD,Долар США,US Dollar,28.431,1,28.431,1,04.01.2021
5,06.01.2021,840,USD,Долар США,US Dollar,28.4028,1,28.4028,1,05.01.2021
6,07.01.2021,840,USD,Долар США,US Dollar,28.4028,1,28.4028,1,05.01.2021
7,08.01.2021,840,USD,Долар США,US Dollar,28.4028,1,28.4028,1,05.01.2021
8,09.01.2021,840,USD,Долар США,US Dollar,28.4028,1,28.4028,1,05.01.2021
9,10.01.2021,840,USD,Долар США,US Dollar,28.4028,1,28.4028,1,05.01.2021
10,11.01.2021,840,USD,Долар США,US Dollar,28.2847,1,28.2847,1,06.01.2021
11,12.01.2021,840,USD,Долар США,US Dollar,28.2038,1,28.2038,1,11.01.2021
12,13.01.2021,840,USD,Долар США,US Dollar,28.046,1,28.046,1,12.01.2021
13,14.01.2021,840,USD,Долар США,US Dollar,27.9705,1,27.9705,1,13.01.2021
14,15.01.2021,840,USD,Долар США,US Dollar,28.0609,1,28.0609,1,14.01.2021
15,16.01.2021,840,USD,Долар США,US Dollar,28.0524,1,28.0524,1,15.01.2021
16,17.01.2021,840,USD,Долар США,US Dollar,28.0524,1,28.0524,1,15.01.2021
17,18.01.2021,840,USD,Долар США,US Dollar,28.0524,1,28.0524,1,16.01.2021
18,19.01.2021,840,USD,Долар США,US Dollar,28.1926,1,28.1926,1,18.01.2021
19,20.01.2021,840,USD,Долар США,US Dollar,28.1544,1,28.1544,1,19.01.2021
20,21.01.2021,840,USD,Долар США,US Dollar,28.2035,1,28.2035,1,20.01.2021
21,22.01.2021,840,USD,Долар США,US Dollar,28.2561,1,28.2561,1,21.01.2021
22,23.01.2021,840,USD,Долар США,US Dollar,28.2561,1,28.2561,1,21.01.2021
23,24.01.2021,840,USD,Долар США,US Dollar,28.2561,1,28.2561,1,21.01.2021
24,25.01.2021,840,USD,Долар США,US Dollar,28.1648,1,28.1648,1,22.01.2021
25,26.01.2021,840,USD,Долар США,US Dollar,28.1665,1,28.1665,1,25.01.2021
26,27.01.2021,840,USD,Долар США,US Dollar,28.1524,1,28.1524,1,26.01.2021
27,28.01.2021,840,USD,Долар США,US Dollar,28.1652,1,28.1652,1,27.01.2021
28,29.01.2021,840,USD,Долар США,US Dollar,28.1929,1,28.1929,1,28.01.2021
29,30.01.2021,840,USD,Долар США,US Dollar,28.1929,1,28.1929,1,28.01.2021
30,31.01.2021,840,USD,Долар США,US Dollar,28.1929,1,28.1929,1,28.01.2021
31,01.02.2021,840,USD,Долар США,US Dollar,28.1324,1,28.1324,1,29.01.2021
32,02.02.2021,840,USD,Долар США,US Dollar,28.0603,1,28.0603,1,01.02.2021
33,03.02.2021,840,USD,Долар США,US Dollar,28.0589,1,28.0589,1,02.02.2021
34,04.02.2021,840,USD,Долар США,US Dollar,27.995,1,27.995,1,03.02.2021
35,05.02.2021,840,USD,Долар США,US Dollar,27.8885,1,27.8885,1,04.02.2021
36,06.02.2021,840,USD,Долар США,US Dollar,27.8885,1,27.8885,1,04.02.2021
37,07.02.2021,840,USD,Долар США,US Dollar,27.8885,1,27.8885,1,04.02.2021
38,08.02.2021,840,USD,Долар США,US Dollar,27.7711,1,27.7711,1,05.02.2021
39,09.02.2021,840,USD,Долар США,US Dollar,27.6651,1,27.6651,1,08.02.2021
40,10.02.2021,840,USD,Долар США,US Dollar,27.6426,1,27.6426,1,09.02.2021
41,11.02.2021,840,USD,Долар США,US Dollar,27.7665,1,27.7665,1,10.02.2021
42,12.02.2021,840,USD,Долар США,US Dollar,27.8384,1,27.8384,1,11.02.2021
43,13.02.2021,840,USD,Долар США,US Dollar,27.8384,1,27.8384,1,11.02.2021
44,14.02.2021,840,USD,Долар США,US Dollar,27.8384,1,27.8384,1,11.02.2021
